text_id,para_number,type_manual,para,para_en
ICPE-32-1970_RES1-FR_res_66,1,null,"La Conférence internationale de l'éducation, convoquée à Genève par l'Organisation des Nations Unies pour l'éducation, la science et la culture, s'étant réunie le 1er juillet 1970 pour sa 32e session, adopte le 8 juillet 1970 la recommandation suivante : La Conférence,","The International Conference on Education, convened in Geneva by the United Nations Educational, Scientific and Cultural Organization, having met on July 1, 1970 for its 32nd session, adopts on July 8, 1970 the following recommendation: The Conference,"
ICPE-32-1970_RES1-FR_res_66,2,preambular,"Considérant l'article 26 de la Déclaration universelle des droits de l'homme (1948),","Considering Article 26 of the Universal Declaration of Human Rights (1948),"
ICPE-32-1970_RES1-FR_res_66,3,preambular,"Considérant la Déclaration des droits de l'enfant (1959),","Considering the Declaration of the Rights of the Child (1959),"
ICPE-32-1970_RES1-FR_res_66,4,preambular,"Considérant la Convention et Recommandation concernant la lutte contre la discrimination dans le domaine de l'enseignement adoptée par la Conférence générale de l'Unesco à sa onzième session (1960),","Considering the Convention and Recommendation concerning the elimination of discrimination in the field of education adopted by the General Conference of UNESCO at its eleventh session (1960),"
ICPE-32-1970_RES1-FR_res_66,5,preambular,"Considérant la Recommandation concernant l'enseignement technique et professionnel adoptée par la Conférence générale de l'Unesco à sa douzième session (1962),","Considering the Recommendation concerning Technical and Vocational Education adopted by the General Conference of UNESCO at its twelfth session (1962),"
ICPE-32-1970_RES1-FR_res_66,6,preambular,"Considérant la Recommandation concernant la condition du personnel enseignant adoptée par la Conférence intergouvernementale spéciale sur la condition du personnel enseignant (1966),","Considering the Recommendation concerning the Status of Teachers adopted by the Special Intergovernmental Conference on the Status of Teachers (1966),"
ICPE-32-1970_RES1-FR_res_66,7,preambular,"Considérant la Déclaration des principes de la coopération culturelle internationale adoptée par la Conférence générale de l'Unesco à sa quatorzième session (1966),","Considering the Declaration of Principles on International Cultural Cooperation adopted by the UNESCO General Conference at its fourteenth session (1966),"
ICPE-32-1970_RES1-FR_res_66,8,preambular,"Considérant les recommandations de la Conférence internationale sur la planification de l'éducation (1968),","Considering the recommendations of the International Conference on Education Planning (1968),"
ICPE-32-1970_RES1-FR_res_66,9,preambular,Considérant que nous entrons dans la Deuxième Décennie du développement,Considering that we are entering the Second Development Decade
ICPE-32-1970_RES1-FR_res_66,10,preambular,"Considérant que l'année 1970 a été proclamée Année internationale de l'éducation,","Considering that the year 1970 has been proclaimed the International Year of Education,"
ICPE-32-1970_RES1-FR_res_66,11,preambular,"Considérant les recommandations pertinentes adoptées par la Conférence internationale de l'instruction publique lors de ses différentes sessions,","Considering the relevant recommendations adopted by the International Conference on Public Instruction during its various sessions,"
ICPE-32-1970_RES1-FR_res_66,12,preambular,"Considérant que l'éducation a pour but non seulement d'inculquer à l'élève des connaissances fondamentales mais aussi et surtout de développer tous les aspects de sa personnalité, et que les méthodes pédagogiques devraient être adaptées à cette fin,","Considering that education aims not only to impart fundamental knowledge to the student but also, and above all, to develop all aspects of their personality, and that pedagogical methods should be adapted to this end,"
