text_id,para_number,Correct,type_current,type,para,para_en
ICPE-03-1934_RES1-FR_res_1,1,,preambular,preambular,La Conférence 1) Constate que le problème de la scolarité obligatoire et de sa prolongation se présente de façon très différente dans les divers pays et qu'aucune mesure d'ensemble ne saurait être recommandée actuellement.,The Conference 1) Notes that the issue of compulsory schooling and its extension presents itself in very different ways across various countries and that no comprehensive measure can currently be recommended.
ICPE-03-1934_RES1-FR_res_1,2,,preambular,preambular,"2) Reconnait que, dans les pays dans lesquels le nombre des écoles ne correspond pas encore à la population scolaire, le problème n'est pas tant de prolonger la scolarité que d'assurer à chaque enfant la possibilité de fréquenter l'école durant un minimum d'années déterminées.","2) Recognizes that in countries where the number of schools does not yet correspond to the school-age population, the issue is not so much extending schooling as ensuring that every child has the opportunity to attend school for a minimum specified number of years."
ICPE-03-1934_RES1-FR_res_1,3,,operative,operative,"3) Tout en admettant que le nombre d'années scolaires obligatoires peut varier selon les pays, considère comme souhaitable que le nombre d'années de scolarité effective ne soit en aucun cas inférieur à sept, et constate que ce minimum est déjà dépassé dans de nombreux pays.","3) While acknowledging that the number of compulsory school years may vary between countries, considers it desirable that the number of actual years of schooling should in no case be less than seven, and notes that this minimum is already exceeded in many countries."
ICPE-03-1934_RES1-FR_res_1,4,,operative,operative,"4) Estime que l'âge de sortie de l'école ne devrait pas être fixé avant le moment où la formation physique, intellectuelle et morale de l'enfant, serait assurée d'une manière suffisante.","4) Considers that the school leaving age should not be set before the point at which the physical, intellectual, and moral education of the child has been sufficiently ensured."
ICPE-03-1934_RES1-FR_res_1,5,,operative,operative,"5) Attire l'attention des Gouvernements sur l'opportunité de faire correspondre à l'adoption du principe de l'obligation scolaire et de sanctions contre les manquements — 144 à ce principe, l'effort voulu de la part des autorités pour rendre possible l'accomplissement intégral de cette obligation.",5) Draws the attention of Governments to the importance of ensuring that the adoption of the principle of compulsory schooling and sanctions for breaches of this principle are accompanied by the necessary effort on the part of the authorities to make full compliance with this obligation possible.
ICPE-03-1934_RES1-FR_res_1,6,,operative,operative,"6) Estime qu'en principe, et pour la majorité des pays, la prolongation de la scolarité, même au delà de 14 ans, offrirait des avantages indiscutables, sauf à examiner les dispenses temporaires et de durée réduite qui pourraient être accordées dans certains cas, par exemple au moment des travaux agricoles.","6) Considers that, in principle, and for the majority of countries, extending schooling beyond the age of 14 would offer indisputable advantages, except for temporary and short-duration exemptions that could be granted in certain cases, for example during agricultural work periods."
ICPE-03-1934_RES1-FR_res_1,7,,operative,operative,7) Proclame que le problème de la prolongation de la scolarité doit être résolu en concordance avec celui de l'âge de l'admission au travail.,7) Proclaims that the issue of extending schooling must be resolved in conjunction with that of the age of admission to work.
ICPE-03-1934_RES1-FR_res_1,8,,operative,operative,"8) Souhaite que, sur le terrain national, la coordination la plus complète existe, en ce qui concerne les mesures à prendre, entre les Administrations de l'Instruction publique et celles du Travail, et que, sur le plan international, les études concernant l'âge d'admission au travail soient menées de pair avec celles concernant la scolarité obligatoire.","8) Wishes that, at the national level, the most complete coordination exists, with regard to the measures to be taken, between the Departments of Public Education and those of Labor, and that, at the international level, studies concerning the minimum age for admission to employment be conducted concurrently with those concerning compulsory schooling."
ICPE-03-1934_RES1-FR_res_1,9,,operative,operative,"9) Souhaite que l'enseignement donné à l'école proprement dite soit prolongé en un enseignement postscolaire également obligatoire; que l'enseignement prolongé, scolaire ou post-scolaire, consiste essentiellement dans une formation générale, qui emprunte ses intérêts et la matière de son enseignement aux intérêts dominants de la région, ruraux, industriels, commerciaux, etc. et, pour les jeunes filles, à la préparation ménagère, et qui, en accordant une plus large place aux exercices pratiques, vise à éveiller et à développer les aptitudes professionnelles des élèves; qu'une large place y soit réservée à la formation physique et morale. 145","9) Wishes that the education provided in the proper school setting be extended into a post-school education that is also compulsory; that the extended education, whether school-based or post-school, consist essentially of general training, drawing its interests and teaching content from the dominant concerns of the region, whether rural, industrial, commercial, etc., and, for young girls, include home economics preparation; and that, by giving greater emphasis to practical exercises, it aims to awaken and develop the students' vocational abilities; a significant place should be reserved for physical and moral training."
ICPE-03-1934_RES1-FR_res_1,10,,operative,operative,10) Estime souhaitable que toute mesure concernant la prolongation de la scolarité soit prise en tenant compte de la nécessité de coordonner les divers genres d'enseignements et d'assurer la continuité de leurs programmes.,10) Considers it desirable that any measure concerning the extension of schooling be taken with due regard to the necessity of coordinating the various types of education and ensuring the continuity of their curricula.
